"dia","Declinación Solar","Radiación Solar","Hora Solar "
"125.00","16.111387391395","4912.2868123112",""
"126.00","16.402297769361","4912.0544547638",""
"127.00","16.688347792508","4911.8248072389",""
"128.00","16.969452698039","4911.5979377859",""
"129.00","17.245529188505","4911.3739136311",""
"130.00","17.516495456484","4911.1528011579",""
"131.00","17.782271208822","4910.9346658865",""
"132.00","18.042777690428","4910.7195724551",""
"133.00","18.29793770761","4910.5075846006",""
"134.00","18.547675650946","4910.2987651395",""
"135.00","18.791917517696","4910.0931759496",""
"136.00","19.030590933723","4909.8908779514",""
"137.00","19.263625174942","4909.6919310901",""
"138.00","19.490951188278","4909.4963943179",""
"139.00","19.712501612128","4909.3043255768",""
"140.00","19.928210796321","4909.1157817806",""
"141.00","20.138014821568","4908.9308187992",""
"142.00","20.341851518409","4908.7494914409",""
"143.00","20.539660485632","4908.571853437",""
"144.00","20.731383108172","4908.3979574255",""
"145.00","20.916962574476","4908.2278549355",""
"146.00","21.096343893345","4908.061596372",""
"147.00","21.269473910222","4907.8992310011",""
"148.00","21.436301322946","4907.7408069351",""
"149.00","21.596776696955","4907.5863711185",""
"150.00","21.750852479932","4907.4359693139",""
"151.00","21.898483015898","4907.2896460886",""
"152.00","22.039624558737","4907.1474448014",""
"153.00","22.174235285166","4907.0094075896",""
"154.00","22.302275307121","4906.8755753566",""
"155.00","22.42370668358","4906.7459877598",""
"156.00","22.538493431805","4906.6206831987",""
"157.00","22.646601538006","4906.4996988039",""
"158.00","22.747998967418","4906.3830704255",""
"159.00","22.842655673793","4906.2708326232",""
"160.00","22.930543608308","4906.1630186554",""
"161.00","23.011636727869","4906.0596604696",""
"162.00","23.085911002837","4905.9607886932",""
"163.00","23.153344424139","4905.866432624",""
"164.00","23.213917009798","4905.7766202218",""
"165.00","23.267610810851","4905.6913780998",""
"166.00","23.314409916663","4905.6107315172",""
"167.00","23.354300459651","4905.5347043713",""
"168.00","23.387270619386","4905.4633191906",""
"169.00","23.413310626098","4905.3965971281",""
"170.00","23.432412763571","4905.3345579548",""
"171.00","23.444571371428","4905.2772200545",""
"172.00","23.449782846814","4905.2246004175",""
"173.00","23.448045645454","4905.1767146362",""
"174.00","23.439360282119","4905.1335769001",""
"175.00","23.423729330469","4905.0951999919",""
"176.00","23.401157422293","4905.0615952836",""
"177.00","23.371651246135","4905.0327727328",""
"178.00","23.335219545311","4905.0087408805",""
"179.00","23.291873115321","4904.9895068476",""
"180.00","23.241624800647","4904.9750763337",""
"181.00","23.184489490948","4904.9654536149",""
"182.00","23.120484116652","4904.9606415425",""
"183.00","23.049627643931","4904.9606415425",""
"184.00","22.971941069087","4904.9654536149",""
"185.00","22.887447412329","4904.9750763337",""
"186.00","22.796171710951","4904.9895068476",""
"187.00","22.698141011914","4905.0087408805",""
"188.00","22.593384363829","4905.0327727328",""
"189.00","22.481932808352","4905.0615952836",""
"190.00","22.363819370984","4905.0951999919",""
"191.00","22.239079051285","4905.1335769001",""
"192.00","22.107748812505","4905.1767146362",""
"193.00","21.969867570628","4905.2246004175",""
"194.00","21.825476182841","4905.2772200545",""
"195.00","21.674617435428","4905.3345579548",""
"196.00","21.517336031093","4905.3965971281",""
"197.00","21.353678575709","4905.4633191906",""
"198.00","21.183693564514","4905.5347043713",""
"199.00","21.007431367734","4905.6107315172",""
"200.00","20.824944215662","4905.6913780998",""
